crop,spi
-0.7649407,-1.545455
-0.7649407,-1.484848
-0.7649407,-1.424242
-0.7649407,-1.363636
-0.7649407,-1.30303
-0.7649407,-1.242424
-0.7649407,-1.181818
-0.7649407,-1.121212
-0.7649407,-1.060606
-0.7649407,-1
-0.7649407,-0.9393939
-0.7649407,-0.8787879
-0.7649407,-0.8181818
-0.7649407,-0.7575758
-0.7649407,-0.6969697
-0.7649407,-0.6363636
-0.7649407,-0.5757576
-0.7649407,-0.5151515
-0.7649407,-0.4545455
-0.7649407,-0.3939394
-0.7649407,-0.3333333
-0.7649407,-0.2727273
-0.7649407,-0.2121212
-0.7649407,-0.1515152
-0.7649407,-0.09090909
-0.7649407,-0.03030303
-0.7649407,0.03030303
-0.7649407,0.09090909
-0.7649407,0.1515152
-0.7649407,0.2121212
-0.7649407,0.2727273
-0.7649407,0.3333333
-0.7649407,0.3939394
-0.7649407,0.4545455
-0.7649407,0.5151515
-0.7649407,0.5757576
-0.7649407,0.6363636
-0.7649407,0.6969697
-0.7649407,0.7575758
-0.7649407,0.8181818
-0.7649407,0.8787879
-0.7649407,0.9393939
-0.7649407,1
-0.7649407,1.060606
-0.7649407,1.121212
-0.7649407,1.181818
-0.7649407,1.242424
-0.7649407,1.30303
-0.7649407,1.363636
-0.7649407,1.424242
-0.7649407,1.484848
-0.7649407,1.545455
-0.7649407,1.606061
-0.7649407,1.666667
-0.7649407,1.727273
-0.7649407,1.787879
-0.7649407,1.848485
-0.7649407,1.909091
-0.7649407,1.969697
-0.7649407,2.030303
-0.7649407,2.090909
-0.7649407,2.151515
-0.7649407,2.212121
-0.7649407,2.272727
-0.7649407,2.333333
-0.7649407,2.393939
-0.7649407,2.454545
-0.7649407,2.515152
-0.7649407,2.575758
-0.7649407,2.636364
-0.7649407,2.69697
-0.7649407,2.757576
-0.7649407,2.818182
-0.7649407,2.878788
-0.7649407,2.939394
-0.7649407,3
-0.764940686,-3
-0.764940686,-2.939393939
-0.764940686,-2.878787879
-0.764940686,-2.818181818
-0.764940686,-2.757575758
-0.764940686,-2.696969697
-0.764940686,-2.636363636
-0.764940686,-2.575757576
-0.764940686,-2.515151515
-0.764940686,-2.454545455
-0.7002901,-2.393939
-0.7002901,-2.333333
-0.7002901,-2.272727
-0.7002901,-2.212121
-0.7002901,-2.151515
-0.7002901,-2.090909
-0.7002901,-2.030303
-0.7002901,-1.969697
-0.7002901,-1.909091
-0.7002901,-1.848485
-0.7002901,-1.787879
-0.7002901,-1.727273
-0.7002901,-1.666667
-0.7002901,-1.606061
-0.7002901,-1.545455
-0.7002901,-1.484848
-0.7002901,-1.424242
-0.7002901,-1.363636
-0.7002901,-1.30303
-0.7002901,-1.242424
-0.7002901,-1.181818
-0.7002901,-1.121212
-0.7002901,-1.060606
-0.7002901,-1
-0.7002901,-0.9393939
-0.7002901,-0.8787879
-0.7002901,-0.8181818
-0.7002901,-0.7575758
-0.7002901,-0.6969697
-0.7002901,-0.6363636
-0.7002901,-0.5757576
-0.7002901,-0.5151515
-0.7002901,-0.4545455
-0.7002901,-0.3939394
